CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
796343,2017,3,ADBE,149.18,1841.07,419.57,0.85,29.64
796343,2018,1,ADBE,216.08,2078.95,583.08,1.18,33.83
796343,2018,2,ADBE,243.81,2195.36,663.17,1.35,31.8
796343,2018,3,ADBE,269.95,2291.08,666.29,1.36,31.37
796343,2019,1,ADBE,266.49,2600.95,674.24,1.38,26.71
796343,2019,2,ADBE,294.65,2744.28,632.59,1.3,27.32
796343,2019,3,ADBE,276.25,2834.13,792.76,1.63,30.11
796343,2020,1,ADBE,318.24,3091.0,955.0,1.98,30.3
796343,2020,2,ADBE,435.31,3128.0,1100.0,2.28,32.49
796343,2020,3,ADBE,490.43,3225.0,955.0,1.99,33.16
796343,2021,1,ADBE,475.37,3905.0,1261.0,2.63,37.23
796343,2021,2,ADBE,585.64,3835.0,1116.0,2.34,36.67
796343,2021,3,ADBE,575.72,3935.0,1212.0,2.54,36.61
796343,2022,1,ADBE,455.62,4262.0,1266.0,2.68,37.07
796343,2022,2,ADBE,366.06,4386.0,1178.0,2.5,34.88
796343,2022,3,ADBE,275.2,4433.0,1136.0,2.42,33.47
796343,2023,1,ADBE,385.37,4655.0,1247.0,2.72,34.1
796343,2023,2,ADBE,488.99,4816.0,1295.0,2.83,33.73
796343,2023,3,ADBE,509.9,4890.0,1403.0,3.07,34.68
796343,2024,1,ADBE,504.6,5182.0,620.0,1.37,17.5
796343,2024,2,ADBE,555.54,5309.0,1573.0,3.5,35.52
796343,2024,3,ADBE,517.78,5408.0,1684.0,3.78,36.83
796343,2025,1,ADBE,383.53,5714.0,1811.0,4.15,37.87
4977,2000,3,AFL,9.84,2475.0,163.0,0.61,10.18
4977,2001,1,AFL,8.41,2421.0,178.0,0.34,11.32
4977,2001,2,AFL,9.63,2348.0,153.0,0.29,10.61
4977,2001,3,AFL,8.27,2446.0,193.0,0.37,12.02
4977,2002,1,AFL,9.07,2371.0,183.0,0.35,8.1
4977,2002,2,AFL,9.86,2513.0,212.0,0.41,8.04
4977,2002,3,AFL,9.47,2707.0,240.0,0.46,13.18
4977,2003,1,AFL,9.94,2807.0,237.0,0.46,8.7
4977,2003,2,AFL,9.55,2861.0,248.0,0.48,8.39
4977,2003,3,AFL,10.06,2931.0,237.0,0.46,8.37
4977,2004,1,AFL,12.56,3280.0,315.0,0.62,14.57
4977,2004,2,AFL,12.8,3233.0,265.0,0.52,13.0
4977,2004,3,AFL,12.33,3321.0,301.0,0.59,13.81
4977,2005,1,AFL,11.78,3559.0,328.0,0.65,14.22
4977,2005,2,AFL,13.72,3567.0,336.0,0.67,14.48
4977,2005,3,AFL,14.4,3669.0,455.0,0.91,17.58
4977,2006,1,AFL,14.41,3559.0,375.0,0.75,16.17
4977,2006,2,AFL,14.84,3697.0,408.0,0.82,16.87
4977,2006,3,AFL,14.7,3672.0,367.0,0.74,15.16
4977,2007,1,AFL,15.23,3751.0,416.0,0.85,17.0
4977,2007,2,AFL,16.7,3764.0,415.0,0.85,16.87
4977,2007,3,AFL,18.6,3861.0,420.0,0.86,16.62
4977,2008,1,AFL,21.34,4267.0,474.0,0.99,17.02
4977,2008,2,AFL,20.71,4336.0,483.0,1.02,17.06
4977,2008,3,AFL,19.46,3691.0,100.0,0.21,4.01
4977,2009,1,AFL,6.53,4818.0,569.0,1.22,18.08
4977,2009,2,AFL,10.58,4313.0,314.0,0.67,10.97
